646 ; 658 ; -1338
643 ; 663 ; -1354
639 ; 671 ; -1370
636 ; 676 ; -1386
632 ; 680 ; -1401
629 ; 683 ; -1425
629 ; 683 ; -1449
627 ; 685 ; -1471
624 ; 688 ; -1484
622 ; 690 ; -1499
620 ; 692 ; -1514
620 ; 692 ; -1529
617 ; 693 ; -1544
616 ; 694 ; -1555
614 ; 695 ; -1573
612 ; 695 ; -1591
611 ; 694 ; -1608
611 ; 695 ; -1617
609 ; 694 ; -1631
607 ; 693 ; -1645
607 ; 692 ; -1659
606 ; 691 ; -1673
604 ; 690 ; -1687
604 ; 690 ; -1699
603 ; 688 ; -1706
602 ; 686 ; -1714
601 ; 684 ; -1719
600 ; 681 ; -1719
600 ; 680 ; -1719
600 ; 680 ; -1719
598 ; 677 ; -1719
598 ; 674 ; -1719
597 ; 668 ; -1719
596 ; 662 ; -1719
596 ; 663 ; -1718
595 ; 659 ; -1718
594 ; 656 ; -1734
594 ; 651 ; -1750
594 ; 646 ; -1757
593 ; 642 ; -1764
593 ; 642 ; -1771
594 ; 637 ; -1779
593 ; 632 ; -1787
593 ; 629 ; -1795
592 ; 622 ; -1800
592 ; 616 ; -1806
592 ; 616 ; -1813
592 ; 612 ; -1820
592 ; 606 ; -1827
592 ; 596 ; -1834
592 ; 587 ; -1841
592 ; 587 ; -1846
591 ; 582 ; -1806
591 ; 576 ; -1766
591 ; 570 ; -1726
591 ; 563 ; -1703
591 ; 563 ; -1680
591 ; 557 ; -1657
591 ; 550 ; -1634
591 ; 543 ; -1611
591 ; 537 ; -1588
591 ; 530 ; -1565
591 ; 530 ; -1542
591 ; 523 ; -1519
591 ; 515 ; -1496
591 ; 508 ; -1473
591 ; 502 ; -1450
593 ; 494 ; -1427
593 ; 494 ; -1404
588 ; 524 ; -1381
584 ; 551 ; -1358
581 ; 575 ; -1335
577 ; 602 ; -1312
575 ; 620 ; -1289
575 ; 620 ; -1266
572 ; 640 ; -1243
569 ; 660 ; -1220
565 ; 678 ; -1197
563 ; 693 ; -1174
561 ; 709 ; -1151
561 ; 709 ; -1128
558 ; 724 ; -1105
556 ; 738 ; -1082
554 ; 753 ; -1059
552 ; 765 ; -1036
549 ; 777 ; -1013
549 ; 777 ; -990
547 ; 789 ; -967
545 ; 800 ; -944
543 ; 811 ; -921
541 ; 821 ; -898
540 ; 828 ; -875
540 ; 829 ; -852
536 ; 841 ; -829
534 ; 847 ; -806
532 ; 856 ; -783
530 ; 863 ; -760
527 ; 870 ; -737
527 ; 870 ; -714
525 ; 875 ; -691
523 ; 881 ; -668
521 ; 887 ; -645
521 ; 895 ; -622
516 ; 899 ; -599
513 ; 899 ; -576
510 ; 899 ; -553
507 ; 899 ; -530
504 ; 899 ; -507
501 ; 899 ; -484
498 ; 899 ; -461
495 ; 899 ; -438
492 ; 899 ; -415
489 ; 899 ; -335
486 ; 899 ; -324
483 ; 899 ; -315
480 ; 899 ; -302
477 ; 899 ; -289
474 ; 899 ; -275
471 ; 899 ; -264
468 ; 899 ; -253
474 ; 902 ; -242
470 ; 898 ; -231
467 ; 894 ; -220
463 ; 886 ; -209
459 ; 878 ; -198
455 ; 870 ; -187
454 ; 862 ; -172
450 ; 855 ; -164
447 ; 845 ; -156
447 ; 845 ; -146
443 ; 838 ; -137
437 ; 817 ; -132
432 ; 796 ; -127
428 ; 782 ; -105
428 ; 782 ; -202
424 ; 766 ; -298
419 ; 740 ; -336
414 ; 715 ; -374
429 ; 708 ; -412
444 ; 701 ; -450
459 ; 694 ; -488
474 ; 687 ; -526
492 ; 681 ; -564
492 ; 681 ; -602
506 ; 683 ; -640
518 ; 684 ; -678
527 ; 683 ; -716
534 ; 683 ; -754
540 ; 682 ; -792
540 ; 682 ; -830
546 ; 681 ; -868
551 ; 679 ; -898
556 ; 676 ; -936
559 ; 674 ; -966
