








































































-453 ; 985 -- 
-453 ; 985 -- 
-451 ; 985 -- 
-451 ; 985 -- 
-450 ; 985 -- 

-449 ; 986 -- 
-449 ; 986 -- 
-449 ; 986 -- 


-451 ; 987 -- 
-451 ; 988 -- 























-538 ; 1004 -- 
-538 ; 1004 -- 


-450 ; 1093 -- 
-450 ; 1094 -- 
-450 ; 1094 -- 
-450 ; 1094 -- 


-448 ; 1021 -- 














-60 ; 355 -- 
-60 ; 355 -- 

-475 ; 987 -- -60 ; 355 -- 

-60 ; 355 -- 

-482 ; 1118 -- -60 ; 355 -- 
-482 ; 1117 -- -60 ; 355 -- 
-60 ; 355 -- 
-482 ; 1117 -- -60 ; 355 -- 
-606 ; 1057 -- -482 ; 1117 -- -60 ; 355 -- 
-60 ; 355 -- 

-60 ; 355 -- 
-60 ; 355 -- 


-539 ; 1102 -- 
-347 ; 1063 -- -61 ; 355 -- 
-471 ; 977 -- 

-283 ; 1062 -- 
-463 ; 1109 -- 
-464 ; 1008 -- 
-252 ; 1062 -- 
-461 ; 1111 -- 

-219 ; 1062 -- 



-196 ; 1063 -- 




-176 ; 1064 -- 
-463 ; 1007 -- 
-464 ; 1007 -- 
-464 ; 1007 -- 
-167 ; 1065 -- 

-164 ; 1065 -- 
-162 ; 1065 -- 
-563 ; 1095 -- 
-563 ; 1095 -- 
-471 ; 1012 -- 
-562 ; 1096 -- 
-756 ; 962 -- -563 ; 1097 -- -159 ; 1066 -- 
-758 ; 963 -- -160 ; 1066 -- 
-562 ; 1096 -- -160 ; 1066 -- 
-562 ; 1097 -- -160 ; 1066 -- 
-161 ; 1067 -- 
-162 ; 1067 -- 

-165 ; 1068 -- 
-166 ; 1069 -- 
-166 ; 1069 -- 
-520 ; 1098 -- -169 ; 1069 -- 
-170 ; 1070 -- 
-517 ; 1096 -- -173 ; 1070 -- 
-515 ; 1095 -- -176 ; 1071 -- 
-178 ; 1072 -- 
-178 ; 1072 -- 
-181 ; 1072 -- 
-184 ; 1073 -- 
-505 ; 1092 -- -465 ; 1018 -- -188 ; 1074 -- 
-192 ; 1075 -- 
-195 ; 1075 -- 
-195 ; 1075 -- 
-494 ; 1071 -- 
-489 ; 1071 -- 
-208 ; 1077 -- 









-248 ; 1082 -- 






-286 ; 1086 -- 
-451 ; 1074 -- 
-447 ; 1076 -- 
-299 ; 1087 -- 
-306 ; 1088 -- 
-312 ; 1088 -- 
-320 ; 1089 -- 
-327 ; 1090 -- 
-436 ; 1111 -- 
-436 ; 1111 -- 
-484 ; 1100 -- 

-355 ; 1091 -- 



-462 ; 1102 -- 
-457 ; 1103 -- 

-464 ; 1135 -- 
-461 ; 999 -- 
-461 ; 999 -- 
