

















-445 ; 1087 -- 













-711 ; 977 -- 











-452 ; 1073 -- 
-452 ; 1073 -- 









-481 ; 1080 -- 










-458 ; 985 -- 
-457 ; 985 -- 
-456 ; 984 -- 
-456 ; 984 -- 
-455 ; 985 -- 
-454 ; 985 -- 
-454 ; 985 -- 
-463 ; 1082 -- -453 ; 985 -- 
-463 ; 1082 -- -453 ; 985 -- 
-463 ; 1082 -- -451 ; 985 -- 
-451 ; 985 -- 
-463 ; 1082 -- -450 ; 985 -- 
-450 ; 986 -- 
-464 ; 1082 -- -449 ; 986 -- 
-449 ; 986 -- 
-464 ; 1082 -- -449 ; 986 -- 
-450 ; 986 -- 
-450 ; 987 -- 
-464 ; 1082 -- -451 ; 987 -- 
-464 ; 1082 -- -451 ; 988 -- 
-451 ; 988 -- 
-451 ; 988 -- 
-453 ; 989 -- 
-453 ; 990 -- 
-454 ; 990 -- 
-455 ; 991 -- 
-455 ; 991 -- 
-456 ; 992 -- 
-458 ; 992 -- 

-460 ; 994 -- 








-597 ; 945 -- 


-460 ; 1001 -- 
-603 ; 946 -- -538 ; 1004 -- -458 ; 1002 -- 
-603 ; 946 -- -538 ; 1004 -- -458 ; 1002 -- 
-456 ; 1003 -- 
-596 ; 994 -- 
-603 ; 945 -- -450 ; 1093 -- 
-603 ; 944 -- -450 ; 1094 -- 
-596 ; 993 -- -450 ; 1094 -- 
-596 ; 993 -- -450 ; 1094 -- 
-450 ; 1094 -- 
-447 ; 1019 -- 
-453 ; 1093 -- -448 ; 1021 -- 
-451 ; 1023 -- 
-451 ; 1023 -- 
-455 ; 1025 -- 
-458 ; 1027 -- 
-461 ; 1029 -- 
-465 ; 1031 -- 
-468 ; 1032 -- 
-469 ; 1032 -- 

-564 ; 948 -- 



-476 ; 987 -- 
-476 ; 987 -- -60 ; 355 -- 
-60 ; 355 -- 
-534 ; 1046 -- 
-567 ; 948 -- -475 ; 987 -- -60 ; 355 -- 

-554 ; 1050 -- -60 ; 355 -- 
-481 ; 1099 -- 
-572 ; 1053 -- -482 ; 1118 -- -60 ; 355 -- 
-585 ; 1055 -- -482 ; 1117 -- -60 ; 355 -- 
-654 ; 1049 -- -60 ; 355 -- 
-607 ; 1057 -- -482 ; 1117 -- -60 ; 355 -- 
-659 ; 1056 -- -606 ; 1057 -- -594 ; 942 -- -482 ; 1117 -- -60 ; 355 -- 
-60 ; 355 -- 
-547 ; 1060 -- 
-563 ; 1033 -- -60 ; 355 -- 
-448 ; 1062 -- -60 ; 355 -- 


-578 ; 1120 -- -539 ; 1102 -- -377 ; 1063 -- 
-577 ; 1121 -- -347 ; 1063 -- -61 ; 355 -- 
-578 ; 1120 -- -471 ; 977 -- 
-300 ; 1063 -- 
-463 ; 1109 -- -283 ; 1062 -- 
-465 ; 1009 -- -463 ; 1109 -- -283 ; 1063 -- 
-577 ; 1120 -- -464 ; 1008 -- -266 ; 1062 -- 
-252 ; 1062 -- -756 ; 962 -- 
-756 ; 962 -- -461 ; 1111 -- -239 ; 1062 -- 
-229 ; 1062 -- 
-506 ; 1132 -- -219 ; 1062 -- 
-218 ; 1062 -- 
-210 ; 1062 -- 
-202 ; 1063 -- 
-721 ; 932 -- -196 ; 1063 -- 
-190 ; 1062 -- 
-190 ; 1062 -- 
-185 ; 1063 -- 
-180 ; 1064 -- 
-464 ; 1007 -- -176 ; 1064 -- 
-463 ; 1007 -- -172 ; 1064 -- -721 ; 930 -- 
-721 ; 930 -- -464 ; 1007 -- -169 ; 1064 -- 
-464 ; 1007 -- -169 ; 1064 -- -721 ; 930 -- 
-465 ; 1007 -- -167 ; 1065 -- 
-165 ; 1065 -- 
-753 ; 962 -- -164 ; 1065 -- 
-772 ; 1039 -- -162 ; 1065 -- 
-634 ; 340 -- -563 ; 1095 -- -161 ; 1065 -- 
