961;-257;654
958;-252;
954;-244;
951;-239;
947;-235;
944;-232;
944;-232;
942;-230;
939;-227;
937;-225;
935;-223;566
935;-223;550
932;-222;534
931;-221;519
929;-220;
927;-220;
926;-221;449
926;-220;436
924;-221;
922;-222;
922;-223;
921;-224;376
919;-225;365
919;-225;
918;-227;
917;-229;312
916;-231;303
915;-234;
915;-235;
915;-235;
913;-238;
913;-241;
;;221
911;-253;214
911;-252;206
910;-256;201
909;-259;
909;-264;
909;-269;
908;-273;
908;-273;
909;-278;
908;-283;
908;-286;202
907;-293;202
907;-299;
907;-299;170
907;-303;163
907;-309;156
;;149
907;-328;
907;-328;
906;-333;
906;-339;120
906;-345;114
906;-352;
906;-352;
906;-358;
906;-365;
906;-372;79
906;-378;74
906;-385;
906;-385;
906;-392;194
906;-400;
906;-407;
906;-413;
908;-421;
908;-421;
903;-391;
899;-364;
896;-340;
892;-313;
890;-295;
890;-295;
887;-275;
884;-255;
880;-237;
878;-222;
876;-206;
876;-206;
873;-191;
871;-177;
869;-162;
867;-150;
864;-138;
864;-138;
862;-126;
860;-115;
858;-104;
856;-94;
855;-87;
855;-86;
851;-74;
849;-68;
847;-59;
845;-52;
842;-45;
842;-45;
840;-40;
;;
;;
836;-20;
831;-16;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
789;-13;
785;-17;1585
782;-21;1596
;;1605
;;
;;
769;-53;1645
765;-60;
762;-70;
762;-70;
758;-77;
;;
747;-119;
743;-133;
743;-133;
739;-149;1748
;;
729;-200;
;;1774
;;1783
;;1788
;;1793
807;-234;1815
807;-234;
821;-232;1622
833;-231;
842;-232;
849;-232;
855;-233;
855;-233;
861;-234;
866;-236;
871;-239;
874;-241;
876;-242;
879;-244;
882;-245;
885;-247;
886;-248;
889;-250;
891;-251;1022
895;-253;984
899;-256;954
